,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.642,0.374,4,-9.386,1,0.0545,0.786,0.0,0.0906,0.0799,124.099,45bE4HXI0AwGZXfZtMp8JR,169266,4
1,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,3tjFYV6RSFtuktYl3ZtYcq,140526,4
2,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,0v1x6rN6JHRapa03JElljE,199054,4
3,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,4Oun2ylbjFKMPTiaSbbCih,187541,4
4,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,7ytR5pFWmSjzHJIeQkgog4,181733,4
5,0.732,0.874,8,-3.158,1,0.0662,0.168,1.17e-05,0.0489,0.905,122.961,4wosxLl0mAqhneDzya2MfY,166028,4
6,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,3H7ihDc1dqLriiWXwsc2po,166794,4
7,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,6UelLqGlWMcVH1E5c4H7lY,174000,4
8,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,2SAqBLGA283SUiwJ3xOUVI,261493,4
9,0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,27ycaQnQAxaPiyeg3nr2aB,223279,4
10,0.79,0.729,9,-3.843,1,0.334,0.0342,9.31e-05,0.0411,0.904,159.989,2J4P46vCFm1rPkNkp9pZWX,175813,4
11,0.795,0.48,3,-8.556,1,0.0688,0.243,0.0,0.271,0.723,149.919,5T490vvoFNU6psep0NPmxs,171375,4
12,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072,0zzVTGyRrWpQu8Fr28NRAv,159863,4
13,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,1IIKrJVP1C9N7iPtG6eOsK,176960,4
14,0.612,0.884,4,-4.113,0,0.0454,0.0759,0.00132,0.247,0.679,178.043,58AGoOGbwsQMhBbH0eFLRR,210795,4
15,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,6EDO9iiTtwNv6waLwa1UUq,200221,4
16,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,59qrUpoplZxbIZxk6X0Bm3,190306,4
17,0.787,0.728,6,-3.455,0,0.389,0.189,2.29e-05,0.0629,0.545,180.066,4uoR6qeWeuL4Qeu2qJzkuG,200198,4
18,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,7y7w4tl4MaRC2UMEj1mPtr,205485,4
19,0.728,0.685,5,-5.096,0,0.0433,0.00391,0.0,0.152,0.33,124.934,70rFIfYN7lU6iTgUIVP42w,138970,4
20,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,5f1joOtoMeyppIcJGZQvqJ,191406,4
21,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,4xqrdfXkTW4T0RauPLv3WA,198040,3
22,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,0PvFJmanyNQMseIFrU708S,190476,4
23,0.799,0.66,1,-6.153,0,0.079,0.256,0.0,0.111,0.471,140.04,02kDW379Yfd5PzW5A6vuGt,195429,4
24,0.571,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.173,0.393,168.169,0EhpEsp4L0oRGM0vmeaN5e,232253,4
25,0.638,0.688,1,-4.056,0,0.0407,0.00775,0.0,0.126,0.434,129.856,76nqCfJOcFFWBJN32PAksn,162399,4
26,0.738,0.621,0,-7.313,1,0.0486,0.424,7.39e-06,0.692,0.715,113.968,7aGyRfJWtLqgJaZoG9lJhE,136839,4
27,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,24Yi9hE78yPEbZ4kxyoXAI,176840,4
